venue_name,venue_id,sample_venue_url,activity_names,activity_ids
Punggol Cove Primary School Field,kuNxvywPdt23ow2YD4rqM,https://activesg.gov.sg/facility-bookings/activities/naPJABNOkipmCtzJsHzHo/venues/kuNxvywPdt23ow2YD4rqM/timeslots,Free To Play,naPJABNOkipmCtzJsHzHo
Punggol Primary School Field,BAWtnejTTFH1l9N9BO4QK,https://activesg.gov.sg/facility-bookings/activities/naPJABNOkipmCtzJsHzHo/venues/BAWtnejTTFH1l9N9BO4QK/timeslots,Free To Play,naPJABNOkipmCtzJsHzHo
Punggol Secondary School Field,1GJs4LMKaJEwU4f7Ooe7c,https://activesg.gov.sg/facility-bookings/activities/qSP0nrWIP8357EAeeLo4Z/venues/1GJs4LMKaJEwU4f7Ooe7c/timeslots,Soccer,qSP0nrWIP8357EAeeLo4Z
Punggol Secondary School Hall,tckWqoLb1K2UBagZpBqB4,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/tckWqoLb1K2UBagZpBqB4/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Punggol View Primary School Field,fMsPrAEs8E55XUJmGAMY2,https://activesg.gov.sg/facility-bookings/activities/naPJABNOkipmCtzJsHzHo/venues/fMsPrAEs8E55XUJmGAMY2/timeslots,Free To Play,naPJABNOkipmCtzJsHzHo
Punggol View Primary School Hall,fOf6EXbnJolxlMpVu8rqV,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/fOf6EXbnJolxlMpVu8rqV/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Qifa Primary School Hall,VZMrUxulVPVG24gl7Xrnx,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/VZMrUxulVPVG24gl7Xrnx/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Qihua Primary School Hall,PQV0sZtKKATgkm0mE7sj4,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/PQV0sZtKKATgkm0mE7sj4/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Queenstown Primary School Field,no9ao8llDuGh8QXMupONv,https://activesg.gov.sg/facility-bookings/activities/naPJABNOkipmCtzJsHzHo/venues/no9ao8llDuGh8QXMupONv/timeslots,Free To Play,naPJABNOkipmCtzJsHzHo
Queenstown Primary School Hall,leFoNGWfouhGjXYbR27EH,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/leFoNGWfouhGjXYbR27EH/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Queensway Secondary School Field,qZ2RH3kVt5RMPVp0EqpOG,https://activesg.gov.sg/facility-bookings/activities/qSP0nrWIP8357EAeeLo4Z/venues/qZ2RH3kVt5RMPVp0EqpOG/timeslots,Soccer,qSP0nrWIP8357EAeeLo4Z
Queensway Secondary School Hall,5OuHTQesKmt5vJ0hZ0gRE,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/5OuHTQesKmt5vJ0hZ0gRE/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Radin Mas Primary School Field,4vU4tbPqLRcfxRIdVM94p,https://activesg.gov.sg/facility-bookings/activities/naPJABNOkipmCtzJsHzHo/venues/4vU4tbPqLRcfxRIdVM94p/timeslots,Free To Play,naPJABNOkipmCtzJsHzHo
Radin Mas Primary School Hall,ELqczOCMqgGTO68hTrVD0,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/ELqczOCMqgGTO68hTrVD0/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Raffles Girls' Primary School Hall,qs5nE2v5UcdiakXa0gHQO,https://activesg.gov.sg/facility-bookings/activities/8WxkVBEDsT9TzydhZ81pK/venues/qs5nE2v5UcdiakXa0gHQO/timeslots,Netball,8WxkVBEDsT9TzydhZ81pK
Red Swastika School (Primary) Hall,p9fLGIN8JxS0irlxyBwXZ,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/p9fLGIN8JxS0irlxyBwXZ/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Regent Secondary School Field,X5jUcCrGKmPrxcrTWyUzt,https://activesg.gov.sg/facility-bookings/activities/qSP0nrWIP8357EAeeLo4Z/venues/X5jUcCrGKmPrxcrTWyUzt/timeslots,Soccer,qSP0nrWIP8357EAeeLo4Z
River Valley Primary School Field,VYsJyBNO1btBpHuJ92ZLp,https://activesg.gov.sg/facility-bookings/activities/naPJABNOkipmCtzJsHzHo/venues/VYsJyBNO1btBpHuJ92ZLp/timeslots,Free To Play,naPJABNOkipmCtzJsHzHo
Riverside Primary School Field,DMRAo5qJudgxkr9PnS1Hq,https://activesg.gov.sg/facility-bookings/activities/naPJABNOkipmCtzJsHzHo/venues/DMRAo5qJudgxkr9PnS1Hq/timeslots,Free To Play,naPJABNOkipmCtzJsHzHo
Riverside Secondary School Hall,90m811nMHjVf4iGGkoPkf,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/90m811nMHjVf4iGGkoPkf/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Rivervale Primary School Hall,l7Nko7IX9xdfx3DiaCtZ4,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/l7Nko7IX9xdfx3DiaCtZ4/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Rulang Primary School Hall,mW5MuesdhdtgRlCHznxOw,https://activesg.gov.sg/facility-bookings/activities/BPQihVHITc7IPGorVeB2Y/venues/mW5MuesdhdtgRlCHznxOw/timeslots,Pickleball,BPQihVHITc7IPGorVeB2Y
Sembawang Primary School Hall,JMJsnnXCzfV7wkG2fCU4N,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/JMJsnnXCzfV7wkG2fCU4N/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Seng Kang Primary School Hall,cWLPCOP0DaRp91TswPcbH,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/cWLPCOP0DaRp91TswPcbH/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Seng Kang Secondary School Field,iAZi14oDBHiyxLdpGDIHB,https://activesg.gov.sg/facility-bookings/activities/qSP0nrWIP8357EAeeLo4Z/venues/iAZi14oDBHiyxLdpGDIHB/timeslots,Soccer,qSP0nrWIP8357EAeeLo4Z
